sexe	poids	para	coul
F	0.182253822	1	Black
F	9.90700564	0	Red
F	11.51585179	0	Black
F	8.755950911	2	Black
F	0.892545632	1	Red
M	3.737869973	4	Black
F	1.706093255	0	Black
M	2.580768449	3	Black
F	0.306117612	2	Red
M	0.64754335	5	Black
M	1.801157609	0	Black
F	0.954101779	2	Red
U	9.054531472	1	Red
M	0.327130401	4	Black
F	4.927262148	0	Red
M	42.46183214	1	Red
M	0.349452239	6	Black
U	2.559966718	2	Red
M	0.149826967	4	Red
F	433.2216628	0	Black
F	0.843751329	5	Red
F	1.724053221	NA	Black
F	5.455803882	3	Red
F	0.623589603	2	Red
F	2.840801451	3	Red
F	0.422470809	4	Black
F	1.292580073	1	Black
M	4.040599927	5	Black
M	22.9874802	1	Black
F	3.01950449	0	Black
U	2.941695996	1	Black
M	5.761497596	1	Black
F	0.688878771	2	Black
M	6.84460081	4	Black
F	0.007942076	0	Black
F	0.229872707	0	Red
M	3.662293462	7	Black
M	0.466657238	2	Black
F	1.028764477	1	Black
M	0.198753374	5	Black
F	16.38224628	1	Red
NA	90.66225063	NA	Red
NA	173.8757727	1	Red
M	1.622920541	3	Black
F	1.020850057	0	Red
F	4.702616828	3	Black
M	16.73511323	6	Black
M	4.300113761	7	Red
F	3.170141022	4	Red
M	4.7422334	2	Black
M	46.41627494	2	Black
F	2.906301241	3	Red
F	1.069498446	1	Black
F	1.632731462	0	Red
M	5.043148344	5	Black
M	0.696410933	1	Black
M	1.142152674	2	Black
F	138.9173531	4	Red
F	0.074159869	3	Red
F	10.02071575	2	Red
F	4.083385124	2	Black
M	98.10173938	3	Black
M	1.038722161	1	Black
F	0.630408842	4	Black
F	3.638852039	2	Red
