M1C	M1Cy	M1C+Munc18c	M1C+Munc18c	baseT10C	baseT10C	T10C+Munc18c	T10C+Munc18c	T10cend	T10cend	baseD27C	baseD27C	D27C+Munc18c	D27C+Munc18c	baseC141	baseC141	C141+Munc18c	C141+Munc18c
1.108	0.119546168	1.103	0.166302666	1.103	0.113523185	1.104	0.13578485	1.107	0.138719618	1.101	0.09744134	1.107	0.137059167	1.11	0.146112084	1.102	0.170048341
2.108	0.116158128	2.104	0.164531842	2.103	0.113045529	2.104	0.135130852	2.107	0.13540253	2.101	0.09366456	2.109	0.138565063	2.11	0.147700354	2.102	0.168030381
3.108	0.119759582	3.104	0.162064046	3.103	0.111366868	3.104	0.13251467	3.107	0.138801143	3.102	0.09729974	3.109	0.140174955	3.11	0.145772368	3.101	0.169530243
4.108	0.1185169	4.104	0.1626698	4.103	0.110404059	4.104	0.130906552	4.107	0.136432454	4.102	0.09540996	4.109	0.144306883	4.11	0.146226242	4.102	0.171401948
5.108	0.113518648	5.104	0.16642791	5.103	0.107497856	5.104	0.138919234	5.111	0.138579816	5.102	0.101296835	5.109	0.143919826	5.11	0.147745088	5.102	0.166151568
6.108	0.116884045	6.104	0.1665285	6.103	0.114032239	6.104	0.133770809	6.111	0.136091024	6.102	0.09813574	6.11	0.14574413	6.11	0.14912115	6.102	0.167916313
7.108	0.117521971	7.104	0.17038022	7.103	0.109813578	7.104	0.13451311	7.111	0.138220444	7.102	0.09580188	7.11	0.147105	7.11	0.150831982	7.102	0.169160739
8.108	0.1231791	8.104	0.1684489	8.103	0.107854836	8.104	0.1384309	8.111	0.133540556	8.102	0.100909837	8.11	0.14926146	8.11	0.146600053	8.102	0.171725377
9.108	0.11413835	9.104	0.169033721	9.103	0.106988996	9.104	0.138022214	9.111	0.13228038	9.102	0.10173703	9.11	0.147315413	9.11	0.148584053	9.103	0.1717633
10.108	0.118804082	10.104	0.169611752	10.103	0.110952474	10.104	0.138235092	10.111	0.138492957	10.101	0.101736747	10.11	0.14806442	10.111	0.145774022	10.103	0.173906684
11.108	0.120965675	11.104	0.171559379	11.103	0.110177562	11.104	0.1328648	11.111	0.137950435	11.102	0.10583882	11.11	0.145319253	11.11	0.146660849	11.102	0.170350984
12.108	0.116940647	12.104	0.165515468	12.103	0.108673714	12.104	0.1329628	12.111	0.1399819	12.102	0.1042272	12.11	0.146845728	12.11	0.147816673	12.103	0.171920151
13.108	0.120975368	13.104	0.171732113	13.103	0.10299138	13.104	0.135792419	13.111	0.136249229	13.104	0.107370563	13.11	0.149384767	13.11	0.146735072	13.103	0.171426445
14.108	0.118136957	14.104	0.1721055	14.103	0.10715124	14.104	0.133048013	14.111	0.132894561	14.103	0.107643418	14.11	0.145826384	14.11	0.149218708	14.103	0.168733671
15.108	0.117958225	15.104	0.17189236	15.103	0.10897243	15.104	0.137884334	15.111	0.137373865	15.104	0.107095711	15.112	0.147218689	15.11	0.149144173	15.103	0.1725558
16.108	0.118275091	16.104	0.172732964	16.103	0.111153133	16.104	0.138277948	16.111	0.134405226	16.103	0.106150933	16.114	0.1495495	16.11	0.14960587	16.103	0.170589969
17.115	0.121492743	17.104	0.170647159	17.103	0.104701862	17.104	0.1363176	17.111	0.138808325	17.104	0.109902821	17.114	0.146797791	17.11	0.14584133	17.103	0.1713461
18.115	0.121223919	18.104	0.167482153	18.103	0.10857074	18.104	0.136952549	18.111	0.132082731	18.104	0.107951164	18.114	0.148255825	18.11	0.147048652	18.103	0.168098167
19.115	0.118572161	19.104	0.16815047	19.103	0.106702663	19.104	0.133078083	19.112	0.132694811	19.104	0.11123243	19.114	0.1483832	19.11	0.147695243	19.103	0.172449589
20.115	0.120993592	20.104	0.177940473	20.103	0.107409693	20.104	0.137506023	20.112	0.140251175	20.104	0.112799667	20.114	0.145380348	20.11	0.14730446	20.103	0.170304626
21.115	0.1203585	21.104	0.172533557	21.103	0.110851981	21.104	0.141795143	21.112	0.138395578	21.105	0.110302873	21.114	0.1433436	21.111	0.147767559	21.103	0.173239827
22.115	0.117583893	22.104	0.17457056	22.103	0.107987873	22.104	0.135072052	22.112	0.135062277	22.105	0.111412548	22.114	0.147268862	22.11	0.1449931	22.103	0.172615647
23.115	0.115931466	23.104	0.1712603	23.104	0.110036626	23.104	0.1341165	23.112	0.129392192	23.105	0.105906382	23.114	0.147485688	23.111	0.1469375	23.103	0.171034425
24.115	0.120599285	24.104	0.168796957	24.104	0.106899031	24.104	0.13209562	24.112	0.13706094	24.105	0.108248033	24.114	0.14802359	24.111	0.146387115	24.103	0.172121659
25.115	0.120996378	25.104	0.171317369	25.104	0.109313495	25.104	0.134209186	25.112	0.139025986	25.105	0.11240676	25.114	0.147212088	25.111	0.147089437	25.103	0.170978576
26.115	0.118460208	26.104	0.174163729	26.104	0.109220184	26.104	0.132526487	26.112	0.138408229	26.104	0.111753255	26.114	0.148888931	26.111	0.147547752	26.103	0.173524112
27.115	0.119300686	27.104	0.17225869	27.105	0.108889505	27.104	0.139365628	27.112	0.13722603	27.105	0.114402629	27.115	0.1479519	27.111	0.147296071	27.103	0.171923116
28.115	0.121547714	28.104	0.1695939	28.108	0.110659234	28.268	0.136310875	28.112	0.137062609	28.105	0.114003345	28.115	0.1474479	28.111	0.146643817	28.103	0.174013048
29.115	0.1186446	29.104	0.173886642	29.108	0.106832646	29.268	0.130501539	29.112	0.13680692	29.105	0.115695558	29.114	0.147235021	29.11	0.145797908	29.103	0.172350526
30.115	0.125410274	30.104	0.174845964	30.108	0.113512516	30.268	0.134220317	30.112	0.133372039	30.105	0.113101237	30.115	0.145465717	30.111	0.147257283	30.103	0.174062148
31.115	0.1190702	31.104	0.1760864	31.108	0.113199167	31.268	0.130533949	31.112	0.136130869	31.105	0.107466854	31.115	0.145632759	31.111	0.147747159	31.103	0.1687109
32.115	0.1203488	32.104	0.171681792	32.108	0.111673363	32.268	0.131963238	32.112	0.134075537	32.105	0.115032159	32.115	0.1486161	32.111	0.1462444	32.103	0.172004223
33.115	0.116186425	33.104	0.1717299	33.108	0.109626144	33.268	0.136336	33.112	0.130792215	33.105	0.10791447	33.114	0.144128218	33.111	0.1496473	33.103	0.171662614
