Sexe	Taille	Poids	Pointure	Yeux	Cheveuxcouleur	Cheveuxlongueur	Fumeur
M	179	69	44	vert	Blond	5	n
M	180	75	43	brun	ch‰tain	1	n
M	183	75	45	brun	ch‰tain	4	n
M	187	75	46	vert	ch‰tain	2	n
M	182	79	43	vert	ch‰tain	5	n
M	193	73	43	bleu	ch‰tain	5	o
F	154	47	38	bleu	brun	10	n
M	173	61	40	brun	noir	2	o
F	162	58	38	brun	ch‰tain	30	n
F	162	50	37	brun	ch‰tain	50	n
M	174	56	42	brun	ch‰tain	3	n
F	166	55	38	brun	ch‰tain	45	o
F	172	53	38	brun	ch‰tain	20	o
F	170	60	39	bleu	Blond	40	n
F	166	52	38	brun	ch‰tain	25	n
M	180	65	43	vert	noir	5	n
F	167	56	39	brun	roux	40	n
F	155	42	36	brun	noir	25	n
F	169	60	39	brun	Blond	35	n
F	169	50	38	brun	brun	15	n
M	182	75	43	brun	ch‰tain	10	n
M	181	71	43	brun	noir	5	n
M	NA	76	44	noir	NA	5	n
F	162	52	37	brun	ch‰tain	40	n
M	167	60	42	brun	ch‰tain	3	o
F	163	58	37	brun	brun	6	n
M	174	76	44	brun	ch‰tain	0.3	o
M	174	75	42	brun	ch‰tain	2	o
M	170	80	42	bleu	roux	1	o
M	174	60	42	bleu	Blond	10	n
M	170	70	42	brun	ch‰tain	4.5	n
F	169	59	38	brun	ch‰tain	20	n
F	163	58	39	brun	ch‰tain	40	o
F	156	NA	37	vert	NA	NA	n
M	182	82	43	brun	Blond	7.7	o
M	182	72	45	bleu	Blond	5.354	n
F	166	51	39	brun	brun	45	n
M	185	74	48	brun	brun	0.2	n
F	165	62	39	bleu	ch‰tain	20	n
M	170	78	43	bleu	brun	5	n
F	165	NA	NA	bleu	Blond	NA	o
M	175	60	42	brun	ch‰tain	69	o
M	186	62	44	bleu	ch‰tain	18	o
M	182	69	41	vert	ch‰tain	8	n
F	163	56	39	bleu	Blond	40	o
F	175	50	39	bleu	Blond	50	n
M	175	75	42	bleu	Blond	40	o
M	176	65	42	brun	ch‰tain	40	n
M	186	78	45	bleu	ch‰tain	5	n
M	178	70	44	brun	noir	0.5	n
M	175	68	43	brun	ch‰tain	50	o
